method,condition,cls,metric,iou,ap
"ASF (local, 11 epochs)",lightsnow,bus,bev,0.3,94.56165843126459
"ASF (local, 11 epochs)",lightsnow,bus,bev,0.5,88.46390878075138
"ASF (local, 11 epochs)",lightsnow,bus,bev,0.7,71.83981792999182
"ASF (local, 11 epochs)",heavysnow,sed,3d,0.3,63.35743396831619
"ASF (local, 11 epochs)",heavysnow,sed,3d,0.5,51.244022928102616
"ASF (local, 11 epochs)",heavysnow,sed,3d,0.7,16.955014287280218
"ASF (local, 11 epochs)",heavysnow,sed,bev,0.3,65.62889482551483
"ASF (local, 11 epochs)",heavysnow,sed,bev,0.5,61.098747959649224
"ASF (local, 11 epochs)",heavysnow,sed,bev,0.7,39.948161051466954
"ASF (local, 11 epochs)",heavysnow,bus,3d,0.3,68.01947920696855
"ASF (local, 11 epochs)",heavysnow,bus,3d,0.5,32.27635498220153
"ASF (local, 11 epochs)",heavysnow,bus,3d,0.7,7.6877267451609095
"ASF (local, 11 epochs)",heavysnow,bus,bev,0.3,87.2632736477606
"ASF (local, 11 epochs)",heavysnow,bus,bev,0.5,75.00049058059403
"ASF (local, 11 epochs)",heavysnow,bus,bev,0.7,27.32313037180729
"ASF (local, 11 epochs)",rain,sed,3d,0.3,65.8005703192078
"ASF (local, 11 epochs)",rain,sed,3d,0.5,45.95502883635388
"ASF (local, 11 epochs)",rain,sed,3d,0.7,15.942207950344839
"ASF (local, 11 epochs)",rain,sed,bev,0.3,68.79955911248373
"ASF (local, 11 epochs)",rain,sed,bev,0.5,61.573334333854525
"ASF (local, 11 epochs)",rain,sed,bev,0.7,42.317882238243534
"ASF (local, 11 epochs)",rain,bus,3d,0.3,3.588462545198038
"ASF (local, 11 epochs)",rain,bus,3d,0.5,1.941019686535754
"ASF (local, 11 epochs)",rain,bus,3d,0.7,0.031269543464665414
"ASF (local, 11 epochs)",rain,bus,bev,0.3,3.588462545198038
"ASF (local, 11 epochs)",rain,bus,bev,0.5,3.588462545198038
"ASF (local, 11 epochs)",rain,bus,bev,0.7,0.9480416365257365
"ASF (local, 11 epochs)",sleet,sed,3d,0.3,70.81368225255618
"ASF (local, 11 epochs)",sleet,sed,3d,0.5,44.83153308654974
"ASF (local, 11 epochs)",sleet,sed,3d,0.7,6.588485008792176
"ASF (local, 11 epochs)",sleet,sed,bev,0.3,76.30969218883122
